Dataset,Model,Accuracy,Inference Time (s/image)
cifar-10,ViT,8.94,0.0020093514134708686
cifar-10,ResNet,12.72,0.0017216944466002832
oxford_flowers,ViT,0.01626280696048138,0.001451139005354649
oxford_flowers,ResNet,0.01626280696048138,0.0019224801829441842
trees,ViT,45.69420035149385,0.0018342336018880208
trees,ResNet,48.68189806678383,0.0024809307522243923
